cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
PVT,interneuron,GS,9,13,22,24,60,84,179,0.00561797752808989,192.150952873033,0.0060307247778869,1.30460992907801,0.0101408198263283,0.206140350877193,0.0215061376933217,0.461664578111946
RIAL,interneuron,GS,36,27,63,434,400,834,4020,0.12616910426213,1052.24654783842,0.0330251254735553,1.36688311688312,0.0219703363970969,0.18062015503876,0.0549449507125695,0.490874246339363
RIAR,interneuron,GS,35,26,61,414,450,864,3733,0.117161509007595,849.979732731714,0.0266769108258023,1.35267857142857,0.0269418142497146,0.221334068357222,0.066463239126827,0.513802083333333
RIBL,interneuron,GS,23,17,40,218,82,300,1099,0.0344924989015128,392.622631479306,0.0123225984394986,1.32960992907801,0.0146324414591851,0.185064935064935,0.0354136694134328,0.49525974025974
RIBR,interneuron,GS,21,20,41,226,61,287,239,0.00750109848722616,506.409236176084,0.0158938307757229,1.41666666666667,0.0139498770586144,0.214727722772277,0.0329172749791877,0.515831270627063
RICL,interneuron,GS,17,20,37,86,94,180,255,0.00800326407632917,381.622283075788,0.0119773486622242,1.30555555555556,0.00920871746741965,0.172230652503794,0.0236852188862894,0.457486090035407
RICR,interneuron,GS,21,21,42,105,92,197,465,0.0145941874333061,511.174428319144,0.0160433879957047,1.28333333333333,0.00979139237746932,0.181498829039813,0.0235233266995324,0.460548399687744
RID,interneuron,GS,13,2,15,53,6,59,25,0.000784633732973448,66.6973634718344,0.00209332005121569,1.9438884644767,0.00769192907754015,0.152380952380952,0.0108619297817894,0.23015873015873
RIFL,interneuron,GS,10,7,17,30,56,86,494.5,0.0155200552382148,50.4340252660009,0.00158288950053358,1.33095238095238,0.0128715253404386,0.259259259259259,0.0253589735006647,0.514691358024691
RIFR,interneuron,GS,14,20,34,41,83,124,154,0.00483334379511644,278.268688072676,0.00873355997968351,1.30833333333333,0.0101499355290063,0.244144144144144,0.0216887540201418,0.548678678678679
RIGL,interneuron,GS,20,19,39,89,106,195,1174,0.0368464001004331,543.152005248178,0.0170470154179957,1.31190476190476,0.00946919715848527,0.185362517099863,0.0229109284113745,0.468217054263566
RIGR,interneuron,GS,14,19,33,108,89,197,768,0.0241039482769443,284.477295958822,0.0089284193069745,1.43774509803922,0.0117544600000012,0.179462571976967,0.0277361230532503,0.455895256375103
RIH,interneuron,GS,24,29,53,110,266,376,3098,0.0972318121900697,1569.12682773311,0.0492475936141205,1.16666666666667,0.00944277175137649,0.115553925165077,0.0261506353541241,0.369534989344234
RIML,interneuron,GS,25,24,49,208,177,385,1819.5,0.0571056430858075,376.007030371049,0.0118011119945719,1.2995670995671,0.024017068341036,0.289586919104991,0.0504748971328641,0.570544631710362
RIMR,interneuron,GS,26,20,46,250,151,401,3310,0.103885506245685,418.980799382354,0.013149858746543,1.20833333333333,0.0186314615530551,0.2412109375,0.0436663905494194,0.563444010416666
RIPL,interneuron,GS,16,7,23,188,22,210,1419,0.0445358106835729,245.210595686155,0.00769602020231481,1.45,0.0208363724723841,0.231075697211155,0.0411727673683682,0.326720209614946
RIPR,interneuron,GS,17,9,26,232,14,246,183,0.00574351892536564,294.618341617595,0.00924669956743442,1.72222222222222,0.0163439145945379,0.209627329192547,0.0354475478660668,0.486361283643892
RIR,interneuron,GS,21,26,47,70,103,173,1461.5,0.0458696880296278,633.934961274683,0.0198962702050933,1.2952380952381,0.0106799553484966,0.21087160262418,0.0249754652333841,0.532286785379569
RIS,interneuron,GS,19,26,45,40,184,224,963.5,0.0302397840687967,630.225994932095,0.019779863000819,1.25,0.0139797420915647,0.251533742331288,0.0297932915844859,0.497673766816144
