,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
65,CEPVR,sensory,GS,21,22,43,61,125,186,260.0,0.0033521569840901,477.659926454881,0.0061584271480219,1.30555555555556,0.0018790596494523,0.175977653631285,0.0050599007027504,0.493519553072626,sensory,GS,15,23,38,94,278,372,2265.0,0.0178217354357473,1938.25613496256,0.0152508114984622,inf,0.0030866918186819,0.151734104046243,0.0068692722718804,0.32480732177264
66,URYDR,sensory,GS,7,17,24,18,71,89,0.0,0.0,457.893942569906,0.0059035860675318,1.27777777777778,0.0031196526738254,0.284132841328413,0.005912901770083,0.549169741697417,sensory,GS,5,2,7,23,14,37,0.0,0.0,79.4127210371126,0.0006248443728725,inf,0.0047189974441007,0.289473684210526,0.0042945858822855,0.263157894736842
67,URYVL,sensory,GS,5,22,27,14,132,146,1.0,1.28929114772698e-05,209.210967262995,0.0026973384809957,1.25326797385621,0.0045655690575964,0.300578034682081,0.0081370205020642,0.60597302504817,sensory,GS,1,1,2,2,1,3,0.0,0.0,2.25575487314618,1.77489918574432e-05,inf,0.0,0.0,0.0,0.0
68,URYVR,sensory,GS,10,16,26,22,140,162,0.0,0.0,229.695716387648,0.002961446538094,1.32179487179487,0.0034342102573544,0.222741433021807,0.0074222416115669,0.539252336448598,sensory,GS,2,1,3,3,2,5,0.0,0.0,0.0,0.0,inf,0.0105751584414489,1.0,0.0105751584414489,1.0
69,OLLL,sensory,GS,14,19,33,60,190,250,169.0,0.0021789020396586,148.40212570976,0.0019133354698146,1.2,0.0052762279405352,0.322393822393822,0.0100563607470374,0.547697368421053,sensory,GS,6,17,23,62,187,249,191.0,0.0015028483303433,219.55343093486,0.0017275157439875,inf,0.0045656770063662,0.193548387096774,0.0107191425226702,0.453024193548387
70,OLLR,sensory,GS,21,23,44,79,175,254,262.0,0.0033779428070446,375.647696072007,0.0048431924920967,1.29090909090909,0.0033969454662032,0.265273311897106,0.007368802791825,0.504770318021201,sensory,GS,7,15,22,84,201,285,1725.0,0.0135728448682844,478.394113275193,0.0037641559915273,inf,0.0050493678477802,0.170353982300885,0.0099718963066733,0.384845132743363
71,OLQDL,sensory,GS,9,14,23,76,54,130,12.0,0.0001547149377272,65.4771693204312,0.0008441913478305,1.2,0.003576867908955,0.266260162601626,0.0065418733530391,0.514939024390244,sensory,GS,9,11,20,87,68,155,272.0,0.0021401819154628,378.139149384816,0.0029753182685363,inf,0.0087149272648503,0.401639344262295,0.0135666707477114,0.490816326530612
72,OLQDR,sensory,GS,13,13,26,76,55,131,362.0,0.0046672339547716,100.770897775542,0.001299230264505,1.33080808080808,0.003696936485915,0.27742946708464,0.0067126719453397,0.535579937304075,sensory,GS,7,13,20,92,96,188,790.0,0.0062159695338809,286.879009717561,0.0022572546636889,inf,0.0051857453879911,0.222826086956522,0.0088454105631685,0.358242753623188
73,OLQVL,sensory,GS,16,13,29,95,60,155,25.0,0.0003223227869317,176.073588684035,0.0022701011923884,1.26587301587302,0.0034483871710341,0.263819095477387,0.0071099313713763,0.564070351758794,sensory,GS,10,10,20,89,110,199,161.0,0.0012667988543732,527.688257667153,0.0041520178899313,inf,0.0036288410554439,0.180327868852459,0.0070121661646635,0.361612021857923
74,OLQVR,sensory,GS,16,13,29,92,102,194,1577.0,0.0203321213996545,130.592862957521,0.0016837222216745,1.22222222222222,0.0034571303720625,0.214646464646465,0.0077680761727269,0.520138888888889,sensory,GS,8,13,21,128,118,246,2700.0,0.0212444528373147,700.701062628129,0.0055133372881702,inf,0.0066229187469832,0.267156862745098,0.0114051035363894,0.461805555555556
75,IL1DL,sensory,GS,9,9,18,62,35,97,549.0,0.0070782084010211,110.086658971095,0.0014193375489427,1.04209956709957,0.0031437575728802,0.226351351351351,0.0052851926180892,0.41829954954955,sensory,GS,6,2,8,27,37,64,19.0,0.0001494980014477,68.6939656079756,0.0005405058194691,inf,0.0048104707527691,0.303571428571429,0.0061122916978608,0.382440476190476
76,IL1DR,sensory,GS,14,12,26,80,111,191,1388.0,0.0178953611304505,308.258137983979,0.0039743448851754,1.22474747474747,0.0052277198951027,0.361464968152866,0.0102835580356074,0.498057644110276,sensory,GS,3,4,7,29,46,75,179.0,0.0014084285399553,7.13321057474936,5.61263539384805e-05,inf,0.0047845063466864,0.131578947368421,0.0047845063466864,0.131578947368421
77,IL1L,sensory,GS,11,15,26,47,90,137,328.0,0.0042288749645444,142.62973769639,0.0018389125821457,1.28989898989899,0.0040690516350258,0.33015873015873,0.0070546327022961,0.578306878306878,sensory,GS,7,8,15,31,68,99,674.0,0.005303244893463,211.198117321343,0.0016617734973196,inf,0.0055235306851404,0.297029702970297,0.0085164751766402,0.461798679867987
78,IL1R,sensory,GS,14,14,28,52,93,145,709.0,0.0091410742373842,136.211652386061,0.0017561647763861,1.25326797385621,0.0042047158682862,0.303234501347709,0.0078481122462607,0.609389038634322,sensory,GS,9,8,17,41,103,144,81.0,0.0006373335851194,253.671361945127,0.0019959664018595,inf,0.0043865352811303,0.21969696969697,0.0085064167542987,0.435227272727273
