,cell_name,cell_type_cook,Gender_cook,indegree_cook,outdegree_cook,degree_cook,instrength_cook,outstrength_cook,strength_cook,BC_wei_cook,BC_wei_norm_cook,BC_bin_cook,BC_bin_norm_cook,eccentricity_cook,CC_wei_cook,CC_bin_cook,LE_wei_cook,LE_bin_cook,cell_class,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
93,OLLR,sensory,GS,19,21,40,63,159,222,357.0,0.0112045697068608,565.004014518838,0.017732848362276,1.37563131313131,0.0143358721223288,0.256827048114434,0.0281220651223297,0.464357864357864,OLL,Sensory neuron,GS,6,14,20,33,115,148,1744.0,0.0547360492122277,244.480921731424,0.0076731191303566,inf,0.01745178983035,0.203208556149733,0.0292402043816375,0.374955436720143
94,OLQDL,sensory,GS,5,10,15,62,40,102,13.0,0.0004080095411461,46.146043746709,0.0014483097026774,1.33333333333333,0.0130335197162816,0.191176470588235,0.0233443881946518,0.370296451914099,OLQ,Sensory neuron,GS,5,12,17,23,26,49,362.0,0.0113614964534555,240.701194896506,0.0075544910833125,inf,0.0092669687252383,0.200757575757576,0.0161005175870645,0.364583333333333
95,OLQDR,sensory,GS,10,8,18,49,28,77,15.0,0.000470780239784,76.2633864281971,0.0023935530232941,1.66666666666667,0.0116783667970998,0.220394736842105,0.0212998496102828,0.426315789473684,OLQ,Sensory neuron,GS,6,8,14,24,17,41,319.0,0.0100119264327412,113.400333987226,0.0035591090950733,inf,0.007149187529088,0.138888888888889,0.0118505266388942,0.242592592592593
96,OLQVL,sensory,GS,13,8,21,80,45,125,13.0,0.0004080095411461,107.025241889938,0.0033590246026595,1.55555555555556,0.0123343124627875,0.193236714975845,0.0250976451176885,0.422705314009662,OLQ,Sensory neuron,GS,8,8,16,22,19,41,521.5,0.0163674596698261,161.466738243682,0.0050676899831674,inf,0.0048772990994957,0.126050420168067,0.0065626129263046,0.171918767507003
97,OLQVR,sensory,GS,12,8,20,70,80,150,2127.0,0.066756638001381,90.5160283666141,0.002840877169249,1.22222222222222,0.0163481212760385,0.209677419354839,0.0321325766489202,0.445250896057348,OLQ,Sensory neuron,GS,8,8,16,28,22,50,303.5,0.0095254535182976,187.912250271433,0.0058976916160766,inf,0.008387129023501,0.175213675213675,0.0130369558235966,0.281410256410256
98,PLNL,sensory,GS,4,3,7,27,25,52,164.0,0.0051471972883058,10.9990021285918,0.0003452075239655,1.43333333333333,0.0386997316287281,0.421052631578947,0.0535778094139737,0.603070175438596,PLN,Sensory neuron,GS,3,3,6,4,18,22,3.0,9.41560479568138e-05,83.2212428711546,0.0026119277782673,inf,0.0146510191723498,0.25,0.0165301669579993,0.285714285714286
99,PLNR,sensory,GS,3,6,9,16,32,48,534.0,0.0167597765363128,24.2739601541076,0.0007618467187906,1.3768115942029,0.0183565068405491,0.287878787878788,0.0231797809493254,0.348484848484849,PLN,Sensory neuron,GS,1,5,6,3,21,24,109.0,0.0034210030757642,65.1346740608223,0.002044274498174,inf,0.0169305781134413,0.214285714285714,0.0206335413286023,0.267857142857143
100,PVCL,interneuron,GS,22,20,42,116,123,239,1607.5,0.0504519490301927,311.386884522718,0.0097729861440812,1.35846560846561,0.0237251745745966,0.351764705882353,0.0410094270058335,0.568593073593074,PVC,Interneuron,GS,13,19,32,43,43,86,185.333333333333,0.0058167514071098,316.336299013535,0.0099283252467997,inf,0.0070924050136286,0.158536585365854,0.0122907217229488,0.298715156794425
101,PVCR,interneuron,GS,19,18,37,128,129,257,885.0,0.0277760341472601,326.349116528911,0.0102425810221866,1.36220238095238,0.0271829890331521,0.338414634146341,0.0440762005549532,0.596265243902439,PVC,Interneuron,GS,9,15,24,27,51,78,178.5,0.0056022848534304,169.600015592808,0.0053229557338775,inf,0.0068820678726389,0.144160583941606,0.0097023256223004,0.217852798053528
102,PVNL,interneuron,GS,5,13,18,19,64,83,64.0,0.002008662356412,70.4830887309454,0.0022121363608984,1.41988416988417,0.0180449265561346,0.296666666666667,0.0306928933890191,0.544222222222222,PVN,Modulatory neuron,GS,5,6,11,14,13,27,73.5,0.0023068231749419,16.7163078521398,0.0005246471612623,inf,0.0175153058468076,0.403846153846154,0.0275898470646733,0.631410256410256
103,PVNR,interneuron,GS,9,18,27,32,36,68,29.5,0.0009258678049086,193.8650514558,0.0060845223606741,1.5,0.0107893219227287,0.314121037463977,0.0212008249093433,0.542817059483726,PVN,Modulatory neuron,GS,9,10,19,15,19,34,68.5,0.0021498964283472,319.720749979689,0.0100345474226253,inf,0.0103340225538615,0.263636363636364,0.0193673560388493,0.516818181818182
