cell_class,cell_type,Gender,cell_name,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
AIA,Interneuron,GS,AIAR,17,10,27,108,30,138,2775.66666666667,0.0871152679262654,540.915811474935,0.0169768316952776,2.58333333333333,0.025143931331196,0.21304347826087,0.0532597878354988,0.500434782608696
AIB,Interneuron,GS,AIBL,30,15,45,166,71,237,2661,0.0835164145376938,664.558511939173,0.0208574010400845,3.25757575757576,0.0162649195766733,0.127918781725888,0.0412865373760405,0.350883490452018
AIB,Interneuron,GS,AIBR,33,21,54,150,74,224,2367.16666666667,0.0742943527294792,1171.30698179427,0.0367618787833239,3.12735597735598,0.0134124002076422,0.115789473684211,0.0396499949128662,0.381233918128655
AIN,Interneuron,GS,AINL,2,13,15,3,33,36,7,0.000219697445232565,80.1553569914788,0.00251570387896174,2.96428571428571,0.0147919305317318,0.1875,0.0294084374698764,0.373958333333333
AIN,Interneuron,GS,AINR,1,12,13,1,42,43,0,0,32.4476320126163,0.00101838026528831,2.96666666666667,0.01884834762325,0.16025641025641,0.0324303424039496,0.290598290598291
AIY,Interneuron,GS,AIYL,13,5,18,61,22,83,480.5,0.0150806603477497,172.984060248065,0.00542916515749372,2.8,0.0291344541394838,0.246710526315789,0.0544148152021988,0.495888157894737
AIY,Interneuron,GS,AIYR,10,12,22,57,41,98,753,0.0236331680371603,300.556776891751,0.0094330794329217,2.75,0.0286868595765356,0.245575221238938,0.0471771711070737,0.459992625368731
AIZ,Interneuron,GS,AIZL,12,15,27,70,102,172,3428.5,0.107604670139979,453.035882413917,0.0142186894235741,2.7,0.0229230387374302,0.165229885057471,0.047534998797938,0.359425173326035
AIZ,Interneuron,GS,AIZR,16,16,32,78,97,175,2652.5,0.0832496390684828,830.490917994481,0.0260652475674622,2.75,0.0192203802555721,0.164300202839757,0.0437602591239342,0.387707669274606
AVA,Interneuron,GS,AVAL,26,0,26,135,0,135,0,0,0,0,Inf,0.0175963742486677,0.175384615384615,0.0526588132420293,0.491384615384615
AVA,Interneuron,GS,AVAR,27,0,27,139,0,139,0,0,0,0,Inf,0.0126815762482395,0.148148148148148,0.0394110680063379,0.434544159544159
AVB,Interneuron,GS,AVBL,40,0,40,138,0,138,0,0,0,0,Inf,0.0090775054762072,0.107692307692308,0.0297070900525201,0.37583485958486
AVB,Interneuron,GS,AVBR,38,0,38,159,0,159,0,0,0,0,Inf,0.0114125407245813,0.114509246088193,0.0355657073157792,0.385988620199146
AVD,Interneuron,GS,AVDL,17,0,17,35,0,35,0,0,0,0,Inf,0.00598795722629108,0.0772058823529412,0.00669046017018618,0.0863970588235294
AVD,Interneuron,GS,AVDR,19,0,19,47,0,47,0,0,0,0,Inf,0.00921795578976536,0.12280701754386,0.0153658156313518,0.215497076023392
AVE,Interneuron,GS,AVEL,32,0,32,158,0,158,0,0,0,0,Inf,0.0140924007190093,0.109879032258065,0.0440632149185565,0.372347830261137
AVE,Interneuron,GS,AVER,35,0,35,162,0,162,0,0,0,0,Inf,0.0148204803981321,0.121008403361345,0.043503748990175,0.383025210084034
AVJ,Modulatory neuron,GS,AVJL,19,6,25,38,13,51,121,0.00379762726759149,317.813921731856,0.0099747009519759,4.26709956709957,0.0125635300490859,0.17003367003367,0.0218079809562259,0.334315375982043
AVJ,Modulatory neuron,GS,AVJR,13,7,20,24,13,37,211.166666666667,0.00662753959784906,417.681075831211,0.0131090664688723,4.07424242424242,0.0108283091534495,0.156914893617021,0.0162444874068066,0.251310790273556
BDU,Interneuron,GS,BDUL,8,13,21,20,20,40,209.333333333333,0.00656999979076434,336.892935593573,0.0105735024666867,3,0.00865062923224594,0.159420289855072,0.0173708727418,0.319283413848631
BDU,Interneuron,GS,BDUR,5,10,15,18,27,45,743,0.0233193145439709,415.989962318582,0.0130559902805405,3.1004329004329,0.0201328381644548,0.232673267326733,0.0345900209764843,0.406353135313531
PVC,Interneuron,GS,PVCL,10,13,23,27,40,67,83,0.00260498399347185,180.164136899748,0.00565451437134355,3.93376623376623,0.0105761117963702,0.125,0.0154679670441786,0.191898148148148
PVC,Interneuron,GS,PVCR,11,12,23,35,47,82,134.166666666667,0.00421086770029084,183.543759652013,0.00576058501198961,4.07424242424242,0.0122783164038877,0.119047619047619,0.0180260304880501,0.192247732426304
PVP,Interneuron,GS,PVPL,7,13,20,12,34,46,317,0.00994915573410332,244.9166291222,0.00768679395901701,3,0.0153247198775157,0.234042553191489,0.0258781835664756,0.412012411347518
PVP,Interneuron,GS,PVPR,7,12,19,11,28,39,24.3333333333333,0.000763710166760823,128.696403489732,0.00403918157961623,3.58257575757576,0.0142330680896429,0.205882352941176,0.0240077717487373,0.374362745098039
PVR,Interneuron,GS,PVR,7,10,17,8,55,63,130.25,0.00408794174879166,406.542686497372,0.0127594842287795,4.32424242424242,0.00734154867854737,0.075187969924812,0.00826047296796608,0.0858395989974937
